name,phase,policy,gpu,tag,batch,dtype,stacks,hbm_gen,link_gbps,eff_link_gbps,barriers,hit_rate,replay_s,analytic_s,ratio,q_over_bar
PF2-olmoe-fp8,prefill,static,H100,OLMoE-1B-7B,1,fp8,5,HBM3,50.7,50.7,8,0.2016,0.051856,0.0522429347,0.992594,0.000613
PF2-olmoe-h200,prefill,static,H200,OLMoE-1B-7B,1,fp16,6,HBM3e,50.7,50.7,8,0.1937,0.104704,0.104300655,1.003867,0.000307
PF2-olmoe-long,prefill,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,16,0.2468,0.196016,0.197416984,0.992903,0.000324
PF2-olmoe-pcie4,prefill,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,24.9,24.9,8,0.1937,0.212512,0.211451513,1.005015,0.000151
PF2-phi-cxl3,prefill,static,H100,Phi-3.5-MoE,1,fp16,5,HBM3,114.5,114.5,8,0.9922,0.006428,0.00640387949,1.003767,0.004997
PF2-phi-pcie4,prefill,static,H100,Phi-3.5-MoE,1,fp16,5,HBM3,24.9,24.9,8,0.3906,0.503976,0.501487005,1.004963,0.000064
X-deepseek-128,decode,static,H100,DeepSeek-V2-Lite,1,fp16,5,HBM3,50.7,50.7,128,0.2995,0.187596,0.188888584,0.993157,0.002711
X-mixtral-96,decode,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,96,0.276,0.987524,0.99518527,0.992302,0.000386
X-olmoe-256,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,256,0.2119,0.409368,0.412114031,0.993337,0.002485
X3-olmoe-256,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,114.5,114.5,256,0.2119,0.189032,0.188915196,1.000618,0.005420
